639-2,639-3,639-5,639-1,Language name(s),Scope,Type,Native name(s),Other name(s)
sid,sid,,,Sidamo,Individual,Living,Sidaamu Afoo,
sin,sin,,si,Sinhala; Sinhalese,Individual,Living,සිංහල Sĩhala,
sio,,sio,,Siouan languages,Collective,,,
sit,,sit,,Sino-Tibetan languages,Collective,,,
sla,,sla,,Slavic languages,Collective,,,
slk / slo*,slk,,sk,Slovak,Individual,Living,slovenčina; slovenský jazyk,
slv,slv,,sl,Slovenian,Individual,Living,slovenski jezik; slovenščina,Slovene
sma,sma,,,Southern Sami,Individual,Living,Åarjelsaemien gïele,
sme,sme,,se,Northern Sami,Individual,Living,davvisámegiella,
smi,,smi,,Sami languages,Collective,,,
smj,smj,,,Lule Sami,Individual,Living,julevsámegiella,
smn,smn,,,Inari Sami,Individual,Living,anarâškielâ,
smo,smo,,sm,Samoan,Individual,Living,Gagana faʻa Sāmoa,
sms,sms,,,Skolt Sami,Individual,Living,sääʹmǩiõll,
sna,sna,,sn,Shona,Individual,Living,chiShona,
snd,snd,,sd,Sindhi,Individual,Living,سنڌي / सिन्धी / ਸਿੰਧੀ,
snk,snk,,,Soninke,Individual,Living,Sooninkanxanne,
sog,sog,,,Sogdian,Individual,Ancient,,
som,som,,so,Somali,Individual,Living,af Soomaali,
son,,son,,Songhai languages,Collective,,,Songhay languages
sot,sot,,st,"Sotho, Southern",Individual,Living,Sesotho [southern],
spa,spa,,es,Spanish; Castilian,Individual,Living,español; castellano,
sqi / alb*,sqi,,sq,Albanian,Macrolanguage,Living,Shqip,
srd,srd,,sc,Sardinian,Macrolanguage,Living,sardu; limba sarda; lingua sarda,
srn,srn,,,Sranan Tongo,Individual,Living,,
srp,srp,,sr,Serbian,Individual,Living,српски / srpski,
srr,srr,,,Serer,Individual,Living,Seereer,
ssa,,ssa,,Nilo-Saharan languages,Collective,,,
ssw,ssw,,ss,Swati,Individual,Living,siSwati,Swazi
suk,suk,,,Sukuma,Individual,Living,Kɪsukuma,
sun,sun,,su,Sundanese,Individual,Living,ᮘᮞ ᮞᮥᮔ᮪ᮓ / Basa Sunda,
sus,sus,,,Susu,Individual,Living,Sosoxui,
sux,sux,,,Sumerian,Individual,Ancient,𒅴𒂠,
swa,swa,,sw,Swahili,Macrolanguage,Living,Kiswahili,
swe,swe,,sv,Swedish,Individual,Living,svenska,
syc,syc,,,Classical Syriac,Individual,Historical,,
syr,syr,,,Syriac,Macrolanguage,Living,ܠܫܢܐ ܣܘܪܝܝܐ Lešānā Suryāyā,
tah,tah,,ty,Tahitian,Individual,Living,Reo Tahiti; Reo Mā'ohi,
tai,,tai,,Tai languages,Collective,,ภาษาไท; ภาษาไต,
tam,tam,,ta,Tamil,Individual,Living,தமிழ் Tamił,
tat,tat,,tt,Tatar,Individual,Living,татар теле / tatar tele / تاتار,
tel,tel,,te,Telugu,Individual,Living,తెలుగు Telugu,
tem,tem,,,Timne,Individual,Living,KʌThemnɛ,Temne
ter,ter,,,Tereno,Individual,Living,Terêna,Terena
tet,tet,,,Tetum,Individual,Living,Lia-Tetun,
tgk,tgk,,tg,Tajik,Individual,Living,тоҷикӣ toçikī,
tgl,tgl,,tl,Tagalog,Individual,Living,Wikang Tagalog,
tha,tha,,th,Thai,Individual,Living,ภาษาไทย Phasathay,
tig,tig,,,Tigre,Individual,Living,ትግረ; ትግሬ; ኻሳ; ትግራይት,
tir,tir,,ti,Tigrinya,Individual,Living,ትግርኛ,
tiv,tiv,,,Tiv,Individual,Living,,
tkl,tkl,,,Tokelau,Individual,Living,,Tokelauan
tlh,tlh,,,Klingon; tlhIngan-Hol,Individual,Constructed,,
tli,tli,,,Tlingit,Individual,Living,Lingít,
tmh,tmh,,,Tamashek,Macrolanguage,Living,,Tamasheq
tog,tog,,,Tonga (Nyasa),Individual,Living,chiTonga,
ton,ton,,to,Tonga (Tonga Islands),Individual,Living,lea faka-Tonga,Tongan
tpi,tpi,,,Tok Pisin,Individual,Living,,
tsi,tsi,,,Tsimshian,Individual,Living,,
tsn,tsn,,tn,Tswana,Individual,Living,Setswana,
tso,tso,,ts,Tsonga,Individual,Living,Xitsonga,
tuk,tuk,,tk,Turkmen,Individual,Living,Türkmençe / Түркменче / تورکمن تیلی تورکمنچ; türkmen dili / түркмен дили,
tum,tum,,,Tumbuka,Individual,Living,chiTumbuka,
tup,,tup,,Tupi languages,Collective,,,Tupian languages
tur,tur,,tr,Turkish,Individual,Living,Türkçe,
tut,,tut,,Altaic languages,Collective,,,
tvl,tvl,,,Tuvalu,Individual,Living,Te Ggana Tuuvalu; Te Gagana Tuuvalu,Tuvaluan
twi,twi,,tw,Twi,Individual,Living,,
tyv,tyv,,,Tuvinian,Individual,Living,тыва дыл,Tuvan
udm,udm,,,Udmurt,Individual,Living,удмурт кыл,
uga,uga,,,Ugaritic,Individual,Ancient,,
uig,uig,,ug,Uighur; Uyghur,Individual,Living,ئۇيغۇرچە  ;  ئۇيغۇر تىلى,
ukr,ukr,,uk,Ukrainian,Individual,Living,Українська мова; Українська,
umb,umb,,,Umbundu,Individual,Living,Úmbúndú,
und,und,,,Undetermined,Special,,,
urd,urd,,ur,Urdu,Individual,Living,اُردُو Urduw,
uzb,uzb,,uz,Uzbek,Macrolanguage,Living,Oʻzbekcha / Ózbekça / ўзбекча / ئوزبېچه; oʻzbek tili / ўзбек тили /  ئوبېک تیلی,
vai,vai,,,Vai,Individual,Living,ꕙꔤ,
,vec,,,Venetian,Individual,Living,Veneto,
ven,ven,,ve,Venda,Individual,Living,Tshivenḓa,
vie,vie,,vi,Vietnamese,Individual,Living,Tiếng Việt,
vol,vol,,vo,Volapük,Individual,Constructed,,
vot,vot,,,Votic,Individual,Living,vađđa ceeli,
wak,,wak,,Wakashan languages,Collective,,,
wal,wal,,,Wolaitta; Wolaytta,Individual,Living,,
war,war,,,Waray,Individual,Living,Winaray; Samareño; Lineyte-Samarnon; Binisayâ nga Winaray; Binisayâ nga Samar-Leyte; “Binisayâ nga Waray”,
was,was,,,Washo,Individual,Living,wá:šiw ʔítlu,
wen,,wen,,Sorbian languages,Collective,,Serbsce / Serbski,
wln,wln,,wa,Walloon,Individual,Living,Walon,
wol,wol,,wo,Wolof,Individual,Living,,
xal,xal,,,Kalmyk; Oirat,Individual,Living,Хальмг келн / Xaľmg keln,
xho,xho,,xh,Xhosa,Individual,Living,isiXhosa,
yao,yao,,,Yao,Individual,Living,,
yap,yap,,,Yapese,Individual,Living,,
yid,yid,,yi,Yiddish,Macrolanguage,Living,ייִדיש; יידיש; אידיש Yidiš,
yor,yor,,yo,Yoruba,Individual,Living,èdè Yorùbá,
ypk,,ypk,,Yupik languages,Collective,,,
zap,zap,,,Zapotec,Macrolanguage,Living,Diidxazá/Dizhsa,
zbl,zbl,,,Blissymbols; Blissymbolics; Bliss,Individual,Constructed,,
zen,zen,,,Zenaga,Individual,Living,Tuḍḍungiyya,
zgh,zgh,,,Standard Moroccan Tamazight,Individual,Living,ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ,Standard Moroccan Berber
zha,zha,,za,Zhuang; Chuang,Macrolanguage,Living,Vahcuengh / 話僮,
zho / chi*,zho,,zh,Chinese,Macrolanguage,Living,中文 Zhōngwén; 汉语; 漢語 Hànyǔ,
znd,,znd,,Zande languages,Collective,,,
zul,zul,,zu,Zulu,Individual,Living,isiZulu,
zun,zun,,,Zuni,Individual,Living,Shiwi'ma,
zxx,zxx,,,No linguistic content; Not applicable,Special,,,
zza,zza,,,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,Macrolanguage,Living,kirmanckî; dimilkî; kirdkî; zazakî,
